id,title,duration
1,Sick and Tired,144
2,We Don't Need 'Em,226
3,Hooligan,149
4,Back N Forth,179
5,Ocean Eyes,240
6,Devil Eyes,131
7,blood valentine,205
8,Ones Like Me,156
9,Bars No Jutsu,148
10,Everyday,204
11,Remember When (Acoustic),209
12,Take What You Want,229
13,Huck Fosier,161
14,The Hunt,299
15,Isis,236
16,Seven Enemies,125
17,Round Here,195
18,why are you here,175
19,What's My Age Again?,148
20,Homicide,245
21,Sow'n,177
22,Jungle,189
23,All Might (From 'My Hero Academia'),183
24,Venom - Music From The Motion Picture,269
25,Tombstone,189
26,"Sugar, We're Goin Down",229
27,Between the Lines,203
28,Lucky You,244
29,Us,170
30,Sunrise Trailer Park,227
31,Teir Abhaile Riu,246
32,Godzilla,210
33,Holy Ghost,141
34,A Little Bit Off,190
35,Misty Mountains,103
36,Echoes,237
37,bloody valentine - Acoustic,195
38,Where Roads End,133
39,Hurricane,223
40,HUMBLE.,177
41,Cadaverous - Original Mix,243
42,Legends,150
43,Go Fuck Yourself,129
44,hot girl bummer,185
45,ASMODEUS,153
46,Dying,169
47,Yggdrasil,272
48,Toss A Coin To Your Witcher,190
49,Hollow,214
50,No Role Modelz,292
51,Tongue Tied,186
52,Hey Neighbor,193
53,MUD,272
54,Savage Daughter,178
55,Self Care,345
56,Escape the Feeling,220
57,When I Grow Up,196
58,7 Years,134
59,Miss YOU!,92
60,Misery Business,201
61,LUVSICK,234
62,Mindreader,173
63,E-GIRLS ARE RUINING MY LIFE!,105
64,Stand Tall,182
65,3 Foot Tall,220
66,DOA,218
67,Cat Girls Are Ruining My Life!,97
68,Dial Tones,199
69,7 Years,177
70,Seraphim,188
71,100 Words and Running,177
72,Still Remembering,196
73,FAIRY TAIL Main Theme,152
74,White Tee,121
75,Rascism,152
76,lonely,190
77,Fire Blood and Steel,192
78,Never Satisfied,119
79,Clean Money,169
80,Wolf Totem,317
81,The Stickup,203
82,Hey Brother,255
83,BOP,159
84,White Tee - Alternate Bass Boosted Version,121
85,Home of the Brave,153
86,The Stigma (Boys Don’t Cry),182
87,Darkside,154
88,Cabin Fever,86
89,Rookie Of The Year,221
90,Paimon,156
91,Hey Rachel,180
92,Lights Go Down,185
93,forget me too,171
94,BREAK,160
95,Silence,180
96,War,163
97,Back Foot,188
98,You Can't Stop Me,239
99,PAID MY DUES,211
100,DEMONS,251
101,Carrollton,203
102,$outh $ide $uicide,169
103,For the Last Time,156
104,My Flaws Burn Through My Skin Like Demonic Flames from Hell,167
105,2nd Hand,123
106,Zuccenberg,172
107,Pray,119
108,1000 Rounds,163
109,122 Days,184
110,Mistake,144
111,GreyGods,192
112,You Should've Known,194
113,Venom,123
114,damn!,114
115,YouTube Rapper - Bonus,235
116,Will - Remix,164
117,Now I'm Up to My Neck with Offers,167
118,Under Pressure,559
119,hot girl bummer,185
120,I Love,210
121,You're Now Tuning into 66.6 FM with DJ Rapture (The Hottest Hour of the Evening),133
122,Homicide,245
123,LED,134
124,WHATS POPPIN,227
125,Avalon,140
126,Take What You Want,229
127,Everyday,204
128,Monsters,174
129,Hard to Tell,138
130,Red Kingdom,141
131,Bars No Jutsu,148
132,Isis,236
133,Joan of Arc,145
134,Jungle,189
135,Ballin,166
136,why are you here,175
137,What the Fuck Is Happening,106
138,What's My Age Again,148
139,E-GIRLS ARE RUINING MY LIFE!,105
140,again,255
141,Paris,111
142,Inferno - From Fire Force: Enen no Shouboutai,90
143,unravel,238
144,"Sugar, We're Goin Down",229
145,All Dogs Go to Heaven,153
146,bloody valentine,205
